blind_id,artist,track_title,collection,preview_url,source_query
p0001.ogg,The Vivaldi Players,"Concerto No. 1 in E Major, Op. 8, RV 269 ""Spring"": I. Allegro",Vivaldi - The Four Seasons,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/9e/ae/0f/9eae0f88-9f9e-0f9f-505b-9953f9f76640/mzaf_9447487264450342886.plus.aac.p.m4a,baroque classical
p0002.ogg,Yo-Yo Ma,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Bach: Cello Suites Nos. 1-6, BWV 1007-1012 (2009 Remaster)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/92/5e/0a/925e0a0d-f33d-a493-f50a-2fa9bcbdd746/mzaf_352011344661116690.plus.aac.p.m4a,baroque classical
p0003.ogg,Simon Preston,"Toccata and Fugue in D Minor, BWV 565: I. Toccata",J.S. Bach: Toccata and Fugue BWV 565,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c7/01/3a/c7013a38-e17e-548f-579d-3cf7e6b7f0b5/mzaf_828998276981843145.plus.aac.p.m4a,baroque classical
p0004.ogg,I Virtuosi Italiani & Daniel Hope,Experience,In a Time Lapse,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/ab/9a/93/ab9a931d-93d3-71f8-8faf-73366409df82/mzaf_5843577385542178088.plus.aac.p.m4a,baroque classical
p0005.ogg,Avi Avital & Venice Baroque Orchestra,"Mandolin Concerto in C Major, RV 425: I. Allegro",Vivaldi,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/6d/8e/d3/6d8ed310-c11d-4803-26d2-7048919bea0a/mzaf_13066034613568786522.plus.aac.p.m4a,baroque classical
p0006.ogg,Jean-François Paillard & Orchestre de Chambre Jean-François Paillard,Canon and Gigue for Three Violins and Continuo in D Major: Canon,"Pachelbel: Canon - Albinoni: Adagio - Bach, Bonporti, Molter: Works",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e2/7a/b2/e27ab2f3-b24f-f61e-7b3a-762cb2fb8eaa/mzaf_2284114874268055912.plus.aac.p.m4a,baroque classical
p0007.ogg,Jeneba Kanneh-Mason,"Suite in B-Flat Major, HWV 434: IV. Menuet",Jane Austen's Piano - EP,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/38/5a/39/385a39ee-e497-ed83-f024-99d4fd604083/mzaf_15366219123269356525.plus.aac.p.m4a,baroque classical
p0008.ogg,Daniel Barenboim,"The Well-Tempered Clavier, Book I: Prelude No. 1 in C Major, BWV 846",Bach: Well-Tempered Clavier Books 1 & 2,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f8/83/08/f88308f9-4fcb-bbcc-0c14-2e5ba0246b5b/mzaf_1297315658219999303.plus.aac.p.m4a,baroque classical
p0009.ogg,Alexandre Tharaud,"Pieces de clavecin, Book 3: Le Tic-Toc-Choc Ou Les Maillotins (18e Ordre)",Couperin: Tic Toc Choc,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/95/72/2e/95722ed2-a866-5946-fcfd-9191f1e5adc0/mzaf_6965089949560521706.plus.aac.p.m4a,baroque classical
p0010.ogg,"Hilary Hahn, Margaret Batjer, Los Angeles Chamber Orchestra & Jeffrey Kahane","Concerto for 2 Violins, Strings, and Continuo in D Minor, BWV 1043: 2. Largo ma non tanto",J.S. Bach: Violin Concertos,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/0f/fd/ab/0ffdabff-a8c2-c8a3-3d9d-506deafee7ed/mzaf_2620049348491303659.plus.aac.p.m4a,baroque classical
